日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.16,8277178,1085393,1344772,459267,715511,115088,347406,635594,842146,658500,674694,567138,457298,270273,104098,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2.16,7407031,984260,1213098,409409,643020,100733,313146,565316,758267,572367,606844,500148,409332,238998,92093,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2.16,6570615,886462,1094133,357349,559924,88308,275124,494014,688730,491939,554535,438976,355715,200684,84722,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2.16,4874542,667816,822330,267217,392542,60701,197982,353690,534481,342069,428039,331900,260480,147769,67526,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2.16,2814104,375956,434037,155862,218926,36589,116014,212922,342308,191548,245674,205929,148058,87517,42764,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2.16,3827761,482659,677368,178186,241231,47545,142943,262753,436621,250160,427409,283192,205467,125046,67181,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.16,4524263,594832,796630,223288,298482,58014,161076,296932,508000,316005,486133,335629,217441,142494,89307,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2.16,4572855,618212,832949,234121,302179,55528,161546,307404,523826,334572,412125,330996,217823,146794,94780,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.16,4057216,551228,721698,218423,281020,45595,144238,273961,460014,281213,400203,280417,195717,134155,69334,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2.16,4629906,631152,808443,251442,317216,56053,167672,313277,513548,329293,451773,327110,229938,150247,82742,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2.16,4340091,608146,750147,267398,320511,54316,164516,294199,470975,303773,377420,311405,212696,136190,68399,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2.16,6501489,871844,1102685,381404,520284,87059,259748,467541,677402,498519,525711,465147,339789,214580,89776,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2.16,7711514,1000820,1269338,445487,654874,109303,321276,588231,775950,618522,609312,550837,415665,247302,104597,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2.16,8316375,1064114,1359809,465818,710291,118356,348346,642208,832444,677866,652974,598264,452899,278897,114089,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2.16,8759750,1115514,1406200,493632,750049,127324,377973,681835,876886,723328,684348,631405,476422,293406,121428,,除夕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2.16,9029003,1147326,1446998,503867,777323,132008,386830,705108,898754,752732,706571,651866,492368,303224,124028,,初一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2.16,9325628,1188690,1498046,521123,799162,140030,403721,725904,925565,778657,723858,669346,508969,313415,129142,,初二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2.16,7028048,939871,1094612,398927,533721,108941,283315,511852,759887,572126,592835,538359,344268,232296,117038,——,初三,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2.16,6323409,837398,985455,364795,474103,101204,256277,459183,665452,506617,545149,500560,309716,205791,111709,——,初四,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2.16,8875442,1098569,1386045,495106,775903,134037,388840,715240,871090,768558,677268,648862,493846,306723,115355,,初五,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2.16,9714067,1214023,1523066,549691,840109,145010,418374,779825,962164,840441,741084,711171,527498,328435,133176,,初六,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.2.16,9995218,1242080,1573122,564035,860817,147958,427866,797747,989812,869892,770604,734707,540683,336835,139060,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.2.16,10081174,1261341,1581938,570325,865941,148936,427784,800530,991996,881143,782916,741518,545307,340255,141244,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2.16,10630646,1345847,1680755,594088,903780,161117,452315,824755,1040527,933273,820457,786410,570923,355808,160591,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.2.16,8171098,1087018,1261604,463367,621019,127958,326508,614020,829993,704126,667601,645463,403309,269335,149777,——,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.2.16,7338478,968263,1145446,431833,551495,115532,293484,533956,740075,620721,594214,602190,359742,233443,148084,——,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.2.16,10164699,1264440,1569339,577813,880831,155648,435886,806109,990511,900094,769333,771250,554792,342896,145757,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.16,10239693,1265328,1588553,577919,884541,153058,439063,822496,1004480,904727,778779,766032,559058,349741,145918,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.16,10331617,1272835,1600861,580950,902535,155095,441770,829881,1016711,910536,781976,772745,565965,352111,147646,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3.16,10252792,1267014,1595226,572204,881886,151847,440538,824257,1005234,907344,780924,765911,562365,350162,147880,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3.16,10826001,1347998,1696998,606071,913325,166188,461266,850651,1059565,954887,831460,810452,588358,364782,174000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3.16,8117703,1057962,1242734,462305,618750,128830,327491,611157,865070,694166,668215,633196,398751,267961,141115,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3.16,7188799,939332,1101107,414071,539538,116165,288329,529846,757882,610386,583031,588442,348451,229957,142262,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3.16,10309060,1277722,1586244,579219,888754,157474,442870,819915,1013258,910475,783906,779503,568053,352363,149304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
